Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
120,0.008257,0.135196,29.3410,0.833886,2.586005,28.5020,0.836046,2.698963,25.1270,0.716072,2.754979
121,0.008137,0.026530,30.1609,0.844520,2.584411,28.7518,0.840408,2.698676,25.3180,0.720942,2.752845
122,0.008101,0.075654,30.1632,0.844114,2.586290,28.7473,0.841212,2.697759,25.3652,0.722037,2.753308
123,0.008053,0.012336,30.1841,0.842851,2.581033,28.6797,0.838226,2.693508,25.2896,0.720019,2.747502
124,0.008052,0.005969,30.1789,0.845269,2.582855,28.7433,0.841193,2.696803,25.3187,0.721058,2.749474
125,0.008004,0.080432,29.8726,0.844661,2.580607,28.5576,0.839128,2.693881,25.1886,0.717999,2.747283
126,0.008012,0.146234,30.0774,0.846111,2.581401,28.6576,0.840712,2.693231,25.3278,0.720727,2.748866
127,0.007904,0.000018,30.1784,0.847208,2.584011,28.6856,0.840892,2.697497,25.3353,0.721043,2.751776
128,0.007893,0.012383,30.2660,0.847506,2.580228,28.6965,0.839819,2.695748,25.3011,0.720151,2.746710
129,0.007886,0.048606,30.2363,0.848035,2.582505,28.6762,0.839856,2.696600,25.2708,0.719387,2.748576
130,0.007846,0.016618,30.3561,0.849589,2.582883,28.6848,0.840409,2.696729,25.3004,0.721236,2.748928
131,0.007784,0.000007,30.1346,0.846809,2.578552,28.6254,0.839585,2.693141,25.2765,0.719582,2.743626
132,0.007851,0.254803,30.1187,0.849233,2.577323,28.5916,0.838563,2.691440,25.2606,0.719934,2.742956
133,0.007663,0.051962,30.3045,0.848019,2.584657,28.7391,0.839650,2.698025,25.3453,0.720901,2.751837
134,0.007683,0.000177,29.6498,0.849401,2.576957,28.2968,0.836297,2.691173,25.1194,0.719524,2.741415
135,0.007638,0.028663,30.2475,0.851711,2.576139,28.5560,0.839816,2.691738,25.2143,0.719976,2.740521
136,0.007648,0.062166,30.4714,0.852550,2.578989,28.6529,0.839970,2.692721,25.3011,0.720614,2.743389
137,0.007579,0.039196,29.8913,0.850905,2.578552,28.4751,0.838484,2.692752,25.1927,0.720646,2.744445
138,0.007594,0.000004,30.5553,0.853807,2.581623,28.6686,0.840541,2.695454,25.3092,0.720142,2.747373
139,0.007490,0.120871,30.0017,0.851353,2.574265,28.4926,0.840262,2.689499,25.2081,0.719841,2.738367
140,0.007498,0.000005,30.5935,0.854917,2.576452,28.6354,0.840529,2.691897,25.2480,0.719888,2.739789
141,0.007493,0.000003,29.7193,0.850780,2.573816,28.1885,0.832463,2.692193,25.0249,0.715762,2.737349
142,0.007394,0.279791,29.6940,0.832473,2.583684,28.1574,0.821539,2.696941,24.9900,0.699749,2.747720
143,0.007332,0.130953,30.5260,0.855978,2.576327,28.4471,0.838071,2.690272,25.1461,0.718047,2.738867
144,0.007292,0.012718,30.2228,0.852690,2.577203,28.3347,0.833513,2.691927,25.1312,0.717825,2.740683
145,0.007331,0.063562,30.6176,0.857281,2.577818,28.5614,0.839774,2.692706,25.2448,0.719932,2.741879
146,0.007363,0.276364,29.4110,0.814851,2.592590,28.2953,0.810315,2.701486,25.1298,0.687687,2.761295
147,0.007292,0.331182,30.4724,0.855186,2.576928,28.4386,0.836881,2.691186,25.1997,0.718243,2.739783
148,0.007194,0.039831,30.1896,0.852193,2.576946,28.3849,0.831354,2.691337,25.1617,0.714608,2.740300
149,0.007236,0.034135,30.3380,0.857654,2.577728,28.4591,0.838584,2.692638,25.2095,0.718749,2.740255
150,0.007230,0.176435,30.5955,0.857583,2.574798,28.4474,0.838269,2.689295,25.1753,0.717367,2.737192
151,0.007142,0.111149,30.2730,0.853259,2.572402,28.2965,0.833749,2.687653,25.1181,0.715430,2.735977
152,0.007112,0.012331,30.6004,0.859357,2.572283,28.3669,0.837944,2.688132,25.1422,0.717987,2.732751
153,0.007084,0.000839,30.6906,0.858164,2.576793,28.4440,0.836996,2.692247,25.1785,0.717217,2.738599
154,0.007078,0.151247,30.6134,0.857209,2.575093,28.3829,0.835515,2.691262,25.1432,0.715143,2.738173
155,0.007121,0.068218,30.7506,0.859146,2.575289,28.3881,0.835410,2.691408,25.1255,0.714942,2.737461
156,0.007023,0.159686,30.7309,0.857580,2.576503,28.4138,0.836670,2.691138,25.1649,0.715215,2.737780
157,0.006980,0.152447,29.4465,0.821738,2.574701,27.4723,0.798880,2.689658,24.5692,0.671954,2.731547
158,0.007008,0.477932,30.5049,0.857871,2.571650,28.2463,0.834150,2.688061,25.0727,0.711701,2.732808
159,0.006908,0.182495,30.5689,0.856605,2.571031,28.2302,0.833880,2.687272,25.0690,0.710763,2.731636
160,0.006921,0.269707,30.6438,0.855748,2.577039,28.3769,0.834169,2.693758,25.1434,0.714363,2.739604
161,0.006862,0.045991,30.7352,0.858842,2.573141,28.3348,0.834305,2.689522,25.0865,0.713211,2.733149
162,0.006931,0.310987,30.7344,0.859709,2.576199,28.4176,0.836382,2.692136,25.1101,0.714465,2.737632
163,0.006830,0.152468,30.7226,0.860225,2.574267,28.3967,0.836677,2.689313,25.1247,0.714775,2.734913
164,0.006774,0.020756,30.6251,0.859083,2.573680,28.3186,0.835063,2.689769,25.1245,0.713471,2.733691
165,0.006842,0.179797,30.9074,0.862796,2.576397,28.4465,0.836174,2.692252,25.1670,0.716584,2.738206
166,0.006756,0.037589,30.8210,0.861416,2.573079,28.4179,0.836684,2.689489,25.1303,0.714880,2.733852
167,0.006752,0.151522,30.7653,0.862893,2.569970,28.3414,0.836575,2.686931,25.0636,0.713948,2.729073
168,0.006804,0.149267,30.8489,0.863334,2.573652,28.3745,0.836057,2.690281,25.0776,0.713396,2.733518
169,0.006708,0.099004,30.6886,0.858132,2.576406,28.3060,0.833053,2.693354,25.0743,0.709831,2.737513
170,0.006713,0.120737,30.8261,0.863913,2.575968,28.4843,0.837548,2.691972,25.1659,0.715685,2.736349
171,0.006578,0.007128,30.6935,0.865788,2.569512,28.3173,0.836987,2.686690,25.0729,0.715218,2.728989
172,0.006678,0.242280,30.3560,0.852107,2.581799,28.1960,0.827429,2.696260,25.0227,0.702041,2.744767
173,0.006592,0.123751,30.9030,0.863926,2.573609,28.3853,0.835938,2.688771,25.1675,0.714859,2.735388
174,0.006618,0.193826,30.0678,0.840060,2.570622,28.0638,0.818733,2.686347,24.9679,0.696350,2.729695
175,0.006562,0.096817,30.9315,0.863287,2.573301,28.3804,0.835864,2.689303,25.1178,0.712586,2.733392
176,0.006649,0.439366,30.8145,0.858747,2.573102,28.1874,0.830384,2.690556,24.9839,0.705094,2.731238
177,0.006580,0.318476,30.6638,0.862970,2.569657,28.2537,0.833474,2.686919,24.9885,0.710764,2.728251
178,0.006509,0.177684,30.9027,0.864889,2.574862,28.3874,0.835710,2.690966,25.1224,0.713963,2.736485
179,0.006474,0.000042,30.7274,0.864609,2.572638,28.2861,0.834841,2.689923,25.0154,0.711540,2.730977
180,0.006478,0.118279,30.6610,0.866177,2.573894,28.3226,0.837746,2.689698,25.0617,0.715068,2.735024
181,0.006386,0.154818,30.9111,0.866655,2.571921,28.3117,0.834961,2.689586,25.0025,0.711731,2.731018
182,0.006456,0.189917,30.5625,0.862292,2.572013,28.1237,0.831484,2.688966,24.9106,0.706077,2.732109
183,0.006445,0.392677,30.8595,0.865932,2.575232,28.3385,0.834920,2.691805,25.0862,0.712065,2.735180
184,0.006393,0.283638,30.9698,0.864593,2.568370,28.1572,0.832170,2.686489,24.9475,0.707178,2.726208
185,0.006307,0.039327,30.9992,0.866681,2.571989,28.2922,0.834943,2.689067,25.0244,0.711493,2.730200
186,0.006348,0.004124,30.5845,0.865020,2.573418,28.2294,0.833774,2.690681,25.0186,0.712506,2.731314
187,0.006307,0.005550,30.6901,0.866559,2.576014,28.3178,0.836607,2.692912,25.0503,0.714481,2.737007
188,0.006295,0.186698,31.1122,0.868932,2.572755,28.3755,0.836717,2.689504,25.1031,0.713877,2.733391
189,0.006252,0.037587,30.9608,0.867775,2.570607,28.2448,0.834567,2.688437,24.9815,0.711051,2.728886
190,0.006252,0.180153,30.7994,0.868381,2.571473,28.0873,0.831951,2.688441,24.8943,0.708611,2.728415
191,0.006242,0.184536,30.1900,0.838352,2.574643,27.8770,0.806972,2.690219,24.7623,0.679342,2.732797
192,0.006284,0.341399,30.8078,0.864898,2.572065,28.2605,0.832036,2.689992,25.0276,0.712908,2.731347
193,0.006157,0.138262,31.1300,0.868539,2.574854,28.2850,0.833537,2.692274,25.0236,0.708663,2.732780
194,0.006125,0.054130,30.5847,0.869131,2.568033,28.1787,0.836055,2.685988,24.9904,0.713103,2.727472
195,0.006159,0.000124,30.8453,0.868887,2.571338,28.2476,0.834614,2.688590,25.0450,0.712893,2.731022
196,0.006247,0.320718,30.6044,0.866295,2.573328,28.1025,0.832097,2.690690,24.9467,0.710984,2.731794
197,0.006246,0.309445,30.4408,0.864670,2.569164,27.9556,0.827758,2.685840,24.8349,0.704734,2.725491
198,0.006123,0.255588,30.9620,0.870457,2.571031,28.1655,0.832594,2.688634,24.9568,0.709668,2.728274
199,0.006105,0.121200,30.6863,0.864410,2.570350,28.1635,0.829698,2.688975,24.9754,0.708439,2.729385
200,0.006155,0.158272,31.0228,0.869273,2.572384,28.2121,0.833855,2.689087,25.0071,0.710354,2.732684
201,0.006093,0.196170,31.2712,0.872268,2.571312,28.3624,0.835869,2.689201,25.0549,0.712414,2.730281
202,0.006032,0.000014,31.2343,0.872326,2.569103,28.2969,0.835229,2.688301,25.0448,0.711204,2.726818
203,0.006133,0.124954,30.9692,0.868055,2.568424,28.1673,0.832302,2.686685,25.0100,0.710834,2.727093
204,0.006103,0.185823,31.2160,0.872085,2.570040,28.2448,0.834722,2.687399,25.0129,0.711323,2.728197
205,0.006080,0.294945,31.0422,0.867171,2.571715,28.1118,0.828792,2.690776,24.8080,0.701059,2.727397
206,0.005961,0.137673,31.1543,0.870406,2.573419,28.2459,0.832896,2.691429,24.9952,0.707819,2.731990
