Training History
Val_SSIM: 0.945546

Epoch 115:
G_Loss: 0.015176
D_Loss: 2.000000
Val_PSNR: 34.8114
Val_SSIM: 0.948620

Epoch 116:
G_Loss: 0.015070
D_Loss: 2.000000
Val_PSNR: 34.8739
Val_SSIM: 0.941570

Epoch 117:
G_Loss: 0.015059
D_Loss: 2.000000
Val_PSNR: 34.8118
Val_SSIM: 0.940067

Epoch 118:
G_Loss: 0.015013
D_Loss: 2.000000
Val_PSNR: 34.7298
Val_SSIM: 0.937467

Epoch 119:
G_Loss: 0.015035
D_Loss: 2.000000
Val_PSNR: 33.5247
Val_SSIM: 0.940143

Epoch 120:
G_Loss: 0.014983
D_Loss: 2.000000
Val_PSNR: 34.3243
Val_SSIM: 0.936837

Epoch 121:
G_Loss: 0.015064
D_Loss: 2.000000
Val_PSNR: 34.6198
Val_SSIM: 0.940569

Epoch 122:
G_Loss: 0.014962
D_Loss: 2.000000
Val_PSNR: 34.5331
Val_SSIM: 0.943320

Epoch 123:
G_Loss: 0.014951
D_Loss: 2.000000
Val_PSNR: 34.1957
Val_SSIM: 0.934650

Epoch 124:
G_Loss: 0.014932
D_Loss: 2.000000
Val_PSNR: 34.7122
Val_SSIM: 0.943681

Epoch 125:
G_Loss: 0.015147
D_Loss: 2.000000
Val_PSNR: 34.9861
Val_SSIM: 0.938747

Epoch 126:
G_Loss: 0.014966
D_Loss: 2.000000
Val_PSNR: 34.7602
Val_SSIM: 0.938712

Epoch 127:
G_Loss: 0.015074
D_Loss: 2.000000
Val_PSNR: 34.7924
Val_SSIM: 0.947864

Epoch 128:
G_Loss: 0.015053
D_Loss: 2.000000
Val_PSNR: 35.0773
Val_SSIM: 0.942347

Epoch 129:
G_Loss: 0.014999
D_Loss: 2.000000
Val_PSNR: 34.2014
Val_SSIM: 0.945473

Epoch 130:
G_Loss: 0.014835
D_Loss: 2.000000
Val_PSNR: 34.9099
Val_SSIM: 0.944618

Epoch 131:
G_Loss: 0.014911
D_Loss: 2.000000
Val_PSNR: 34.9293
Val_SSIM: 0.941860

Epoch 132:
G_Loss: 0.014733
D_Loss: 2.000000
Val_PSNR: 35.2488
Val_SSIM: 0.943691

Epoch 133:
G_Loss: 0.014857
D_Loss: 2.000000
Val_PSNR: 34.6792
Val_SSIM: 0.937970

Epoch 134:
G_Loss: 0.014720
D_Loss: 2.000000
Val_PSNR: 35.0665
Val_SSIM: 0.946270

Epoch 135:
G_Loss: 0.014702
D_Loss: 2.000000
Val_PSNR: 35.0854
Val_SSIM: 0.951524

Epoch 136:
G_Loss: 0.014758
D_Loss: 2.000000
Val_PSNR: 35.2020
Val_SSIM: 0.943985

Epoch 137:
G_Loss: 0.014709
D_Loss: 2.000000
Val_PSNR: 34.8836
Val_SSIM: 0.947163

Epoch 138:
G_Loss: 0.014857
D_Loss: 2.000000
Val_PSNR: 35.1629
Val_SSIM: 0.948569

Epoch 139:
G_Loss: 0.014595
D_Loss: 2.000000
Val_PSNR: 35.2948
Val_SSIM: 0.941128

Epoch 140:
G_Loss: 0.014657
D_Loss: 2.000000
Val_PSNR: 35.0591
Val_SSIM: 0.944280

Epoch 141:
G_Loss: 0.014557
D_Loss: 2.000000
Val_PSNR: 34.9759
Val_SSIM: 0.945857

Epoch 142:
G_Loss: 0.014500
D_Loss: 2.000000
Val_PSNR: 34.8207
Val_SSIM: 0.943793

Epoch 143:
G_Loss: 0.014589
D_Loss: 2.000000
Val_PSNR: 35.1520
Val_SSIM: 0.944502

Epoch 144:
G_Loss: 0.014502
D_Loss: 2.000000
Val_PSNR: 35.2013
Val_SSIM: 0.946717

Epoch 145:
G_Loss: 0.014601
D_Loss: 2.000000
Val_PSNR: 34.9114
Val_SSIM: 0.949540

Epoch 146:
G_Loss: 0.014551
D_Loss: 2.000000
Val_PSNR: 35.2909
Val_SSIM: 0.943341

Epoch 147:
G_Loss: 0.014816
D_Loss: 2.000000
Val_PSNR: 34.8391
Val_SSIM: 0.943816

Epoch 148:
G_Loss: 0.014747
D_Loss: 2.000000
Val_PSNR: 34.3899
Val_SSIM: 0.934340

Epoch 149:
G_Loss: 0.014666
D_Loss: 2.000000
Val_PSNR: 35.0965
Val_SSIM: 0.951792

Epoch 150:
G_Loss: 0.014650
D_Loss: 2.000000
Val_PSNR: 35.3012
Val_SSIM: 0.948341

Epoch 151:
G_Loss: 0.014701
D_Loss: 2.000000
Val_PSNR: 34.9841
Val_SSIM: 0.947047

Epoch 152:
G_Loss: 0.014527
D_Loss: 2.000000
Val_PSNR: 35.4302
Val_SSIM: 0.942982

Epoch 153:
G_Loss: 0.014730
D_Loss: 2.000000
Val_PSNR: 35.1997
Val_SSIM: 0.945959

Epoch 154:
G_Loss: 0.014651
D_Loss: 2.000000
Val_PSNR: 35.2975
Val_SSIM: 0.943947

Epoch 155:
G_Loss: 0.014687
D_Loss: 2.000000
Val_PSNR: 34.9824
Val_SSIM: 0.942910

Epoch 156:
G_Loss: 0.014613
D_Loss: 2.000000
Val_PSNR: 35.2524
Val_SSIM: 0.949019

Epoch 157:
G_Loss: 0.014521
D_Loss: 2.000000
Val_PSNR: 34.8509
Val_SSIM: 0.948231

Epoch 158:
G_Loss: 0.014477
D_Loss: 2.000000
Val_PSNR: 35.0738
Val_SSIM: 0.948980

Epoch 159:
G_Loss: 0.014473
D_Loss: 2.000000
Val_PSNR: 34.8565
Val_SSIM: 0.934233

Epoch 160:
G_Loss: 0.014409
D_Loss: 2.000000
Val_PSNR: 35.3811
Val_SSIM: 0.946564

Epoch 161:
G_Loss: 0.014318
D_Loss: 2.000000
Val_PSNR: 35.1371
Val_SSIM: 0.948691

Epoch 162:
G_Loss: 0.014427
D_Loss: 2.000000
Val_PSNR: 35.2969
Val_SSIM: 0.948070

Epoch 163:
G_Loss: 0.014374
D_Loss: 2.000000
