Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
96,0.007867,0.248675,30.3171,0.852425,2.554762,27.3249,0.804766,2.678132,24.4052,0.676280,2.706493
97,0.007890,0.235125,30.0487,0.845938,2.562208,26.9319,0.787180,2.680786,24.2863,0.664735,2.715446
98,0.007931,0.248193,30.4437,0.852912,2.561591,27.4056,0.800177,2.681834,24.4484,0.676066,2.715498
99,0.007885,0.250847,30.2737,0.851243,2.561925,27.3322,0.804090,2.681825,24.4832,0.677775,2.715367
100,0.007832,0.250733,30.2020,0.846233,2.554435,27.0402,0.789650,2.676886,24.2103,0.662283,2.700720
101,0.007731,0.249522,30.2343,0.851405,2.562411,27.3917,0.800167,2.683308,24.4726,0.674471,2.716380
102,0.007779,0.254429,29.7972,0.846729,2.556020,27.1783,0.796743,2.678628,24.3321,0.674403,2.707787
103,0.007790,0.251887,29.9866,0.846627,2.561857,27.1502,0.788762,2.682997,24.4314,0.669282,2.714887
104,0.007686,0.255698,30.1843,0.849721,2.555969,27.1316,0.795230,2.676336,24.3413,0.668865,2.704327
105,0.007723,0.249600,30.0757,0.847369,2.556352,27.0509,0.785790,2.674740,24.3197,0.665261,2.707591
106,0.007691,0.263786,30.0003,0.847518,2.558578,26.9267,0.788011,2.676477,24.2784,0.665088,2.710437
107,0.007709,0.262383,30.3835,0.851993,2.557104,27.2706,0.797820,2.675443,24.4382,0.674498,2.707165
108,0.007554,0.259655,30.1703,0.849138,2.555341,27.0633,0.790055,2.675056,24.3500,0.667766,2.707177
109,0.007653,0.262848,30.1815,0.852508,2.558993,27.2069,0.795034,2.679569,24.4322,0.672093,2.712048
110,0.007638,0.263204,30.4476,0.854145,2.566392,27.4071,0.803769,2.685420,24.5717,0.680403,2.724838
111,0.007563,0.260302,30.2464,0.850214,2.556380,26.9789,0.793137,2.676593,24.2551,0.667627,2.705170
112,0.007576,0.266110,30.2498,0.849308,2.552278,26.8771,0.785044,2.672208,24.1488,0.660495,2.697266
113,0.007528,0.269653,30.2185,0.849726,2.557071,26.8522,0.780992,2.676351,24.2108,0.658253,2.705699
114,0.007512,0.267761,30.3378,0.850251,2.554313,26.8945,0.783617,2.673114,24.1887,0.661618,2.700791
115,0.007535,0.274428,30.4199,0.856461,2.552921,27.0424,0.799535,2.673589,24.3322,0.675967,2.700718
116,0.007512,0.256740,30.6572,0.858185,2.565428,27.6289,0.807412,2.684777,24.7015,0.686775,2.723829
117,0.007452,0.272349,30.3294,0.854217,2.555373,26.9192,0.791529,2.675748,24.2727,0.668182,2.703447
118,0.007416,0.269830,30.4503,0.853633,2.558676,27.1992,0.795194,2.677667,24.4111,0.672958,2.711867
119,0.007492,0.281737,30.4168,0.856478,2.560570,27.2208,0.800260,2.680000,24.4688,0.678978,2.714906
120,0.007417,0.277050,30.5161,0.857278,2.558607,27.2277,0.800382,2.679104,24.4395,0.675669,2.710911
121,0.007444,0.272663,30.2931,0.854881,2.561233,27.1858,0.793244,2.679252,24.4333,0.671950,2.712220
122,0.007385,0.282837,30.5218,0.854183,2.559324,27.1570,0.792506,2.679130,24.3771,0.667558,2.711003
123,0.007326,0.280457,30.4247,0.857270,2.557731,27.1813,0.799684,2.677851,24.3980,0.675983,2.708401
124,0.007408,0.281333,30.3851,0.857761,2.558200,27.0752,0.797592,2.678394,24.3425,0.674577,2.705891
125,0.007344,0.283306,30.3850,0.854448,2.560867,27.1976,0.796514,2.680970,24.4494,0.672949,2.713375
126,0.007353,0.279576,30.1924,0.846013,2.552151,26.5589,0.770651,2.668300,24.0532,0.654620,2.696351
127,0.007349,0.280469,30.6951,0.859960,2.559238,27.2037,0.800191,2.678670,24.4756,0.678224,2.711398
128,0.007296,0.285197,30.2860,0.850527,2.553001,26.7712,0.778028,2.671433,24.1648,0.659336,2.698859
129,0.007301,0.290457,30.4404,0.853954,2.561020,26.9212,0.787498,2.677567,24.3053,0.666523,2.711456
130,0.007294,0.284990,30.1621,0.848506,2.550143,26.7038,0.779139,2.671813,24.1333,0.658153,2.696503
131,0.007251,0.286710,30.3062,0.857118,2.559187,27.2194,0.799698,2.679268,24.4457,0.677649,2.711629
132,0.007297,0.288138,30.4171,0.859207,2.551107,26.8151,0.791473,2.669474,24.1858,0.669303,2.696967
133,0.007235,0.282257,30.3001,0.849565,2.557833,26.8285,0.779583,2.675051,24.2523,0.661215,2.707135
134,0.007205,0.286943,30.1410,0.854551,2.553283,26.9686,0.790577,2.673409,24.3027,0.668444,2.698971
135,0.007254,0.285636,30.5066,0.858764,2.555663,27.0859,0.795998,2.677421,24.3445,0.673337,2.705928
136,0.007165,0.289469,30.3734,0.854241,2.555337,26.7428,0.788333,2.673736,24.2250,0.665435,2.704068
137,0.007181,0.288424,30.5298,0.854393,2.556719,27.0058,0.788942,2.677333,24.3116,0.665251,2.706110
138,0.007135,0.291546,30.6702,0.861535,2.557599,27.1521,0.798409,2.676215,24.4574,0.677963,2.708693
139,0.007149,0.288558,30.2872,0.856231,2.552585,26.9401,0.791302,2.671464,24.3782,0.674417,2.703909
140,0.007211,0.297594,30.4913,0.855997,2.556335,27.0342,0.788825,2.675557,24.3210,0.668455,2.707545
141,0.007115,0.298761,30.2502,0.855732,2.553539,26.8953,0.789669,2.675231,24.2526,0.668596,2.706731
142,0.007089,0.285941,30.6984,0.862552,2.558881,27.4137,0.804994,2.679181,24.5385,0.683187,2.713337
143,0.007136,0.292111,30.5586,0.857827,2.560518,27.1870,0.797697,2.679572,24.4934,0.678444,2.713575
144,0.007095,0.291240,30.0837,0.852879,2.564030,27.2424,0.796445,2.682695,24.4735,0.673706,2.717775
145,0.007071,0.289413,30.6151,0.857906,2.557360,27.0430,0.790202,2.676480,24.3612,0.670965,2.708039
146,0.007070,0.299563,30.4987,0.856717,2.553112,26.8713,0.788516,2.673165,24.2118,0.664357,2.698876
147,0.007047,0.303102,30.4469,0.856187,2.553096,26.8191,0.789002,2.673574,24.1823,0.664453,2.700592
148,0.007032,0.288765,30.3165,0.853684,2.559267,26.9712,0.790625,2.679324,24.2924,0.667469,2.708008
149,0.007060,0.300902,30.5275,0.859397,2.554024,27.0275,0.794718,2.674163,24.3747,0.673311,2.704214
150,0.007078,0.283927,30.1018,0.853580,2.547887,26.5166,0.774478,2.665019,24.0101,0.657664,2.690911
151,0.007001,0.296898,30.4690,0.858816,2.556402,27.0149,0.792949,2.676367,24.3533,0.670702,2.704596
152,0.007021,0.291664,30.5126,0.859106,2.561434,27.0610,0.790655,2.679988,24.3995,0.673084,2.717178
153,0.006968,0.297446,30.5625,0.857862,2.559038,27.0784,0.787973,2.678516,24.3556,0.667775,2.710777
154,0.006906,0.290341,30.0067,0.854879,2.552044,26.6401,0.781374,2.670676,24.0355,0.659590,2.697536
155,0.007046,0.302262,30.0268,0.852627,2.551340,26.5540,0.777946,2.670165,23.9991,0.654223,2.692241
156,0.006964,0.298150,30.6805,0.859746,2.557564,27.1846,0.795617,2.678575,24.3486,0.671416,2.707519
157,0.006913,0.296860,30.5031,0.856481,2.559481,27.0894,0.790628,2.678970,24.3999,0.669087,2.709887
158,0.006938,0.292446,30.4527,0.857355,2.553471,26.9578,0.789052,2.674136,24.3075,0.668320,2.702582
159,0.006922,0.306616,30.3834,0.855744,2.548528,26.5160,0.776149,2.666219,23.9919,0.655738,2.691103
160,0.006909,0.290876,30.5821,0.861333,2.553033,27.0204,0.794213,2.675127,24.3061,0.672916,2.702818
161,0.006902,0.293525,30.5906,0.857779,2.555599,26.9088,0.787382,2.675629,24.2972,0.667880,2.704416
162,0.006894,0.304986,30.2503,0.856697,2.559193,26.7002,0.780137,2.676955,24.2291,0.661645,2.707719
163,0.006861,0.296945,30.7115,0.862645,2.557283,27.0628,0.796825,2.677545,24.3629,0.672974,2.707997
164,0.006847,0.303123,30.3082,0.853996,2.561498,26.8265,0.777409,2.679059,24.2360,0.659387,2.711054
165,0.006823,0.302025,30.6010,0.860189,2.555546,27.0103,0.789472,2.675369,24.3388,0.670562,2.705234
166,0.006899,0.307702,30.4998,0.856590,2.557993,26.9626,0.787085,2.678064,24.3253,0.667003,2.709912
167,0.006904,0.308583,30.4825,0.857496,2.557875,26.8374,0.781390,2.676231,24.2202,0.661932,2.705260
168,0.006818,0.306638,30.4630,0.860841,2.563503,27.3628,0.800516,2.683543,24.5883,0.681772,2.721604
169,0.006883,0.302463,29.7820,0.856145,2.551016,26.6479,0.782336,2.671356,24.0925,0.665590,2.700766
170,0.006769,0.302604,30.7166,0.861156,2.556703,26.9203,0.787541,2.675264,24.3553,0.670424,2.707330
171,0.006778,0.300692,30.5899,0.860949,2.554802,26.8351,0.787926,2.673566,24.2729,0.668176,2.704254
172,0.006818,0.304273,30.5607,0.861796,2.558214,27.1601,0.796874,2.678696,24.3999,0.672296,2.709251
173,0.006800,0.296789,30.3900,0.861069,2.556973,26.9289,0.790428,2.676030,24.3347,0.669784,2.707299
174,0.006779,0.309878,30.5699,0.858670,2.554647,26.7207,0.782256,2.673967,24.1797,0.662276,2.702410
175,0.006729,0.302388,30.5859,0.857937,2.560032,26.9368,0.783917,2.677737,24.3114,0.663533,2.710584
176,0.006739,0.301105,30.6079,0.859860,2.556855,26.9936,0.789970,2.675987,24.3267,0.669165,2.706405
177,0.006799,0.306280,30.7787,0.864143,2.561158,27.2099,0.798781,2.679712,24.4927,0.677980,2.713826
178,0.006747,0.301021,30.6137,0.858864,2.556746,26.8242,0.783153,2.675941,24.2554,0.663347,2.706111
179,0.006698,0.301384,30.6225,0.862924,2.560780,27.0514,0.795193,2.680045,24.4366,0.675256,2.715546
180,0.006707,0.299854,30.6325,0.860399,2.555108,26.9297,0.791638,2.675514,24.2629,0.666161,2.702503
181,0.006680,0.312389,30.5833,0.857516,2.555590,26.7671,0.779706,2.674057,24.2327,0.661229,2.704037
182,0.006727,0.304151,30.4367,0.855846,2.553545,26.7546,0.777294,2.673205,24.1094,0.652643,2.699515
183,0.006682,0.299899,30.5435,0.859678,2.553902,26.6641,0.780714,2.671909,24.0898,0.657758,2.697540
184,0.006686,0.312897,30.5740,0.860288,2.554925,26.9209,0.786127,2.674243,24.3301,0.667836,2.705139
185,0.006681,0.302849,30.4611,0.861740,2.556368,26.9956,0.792738,2.676263,24.3328,0.671134,2.707966
186,0.006727,0.308299,30.6415,0.859091,2.551961,26.5966,0.778712,2.669164,24.1551,0.660200,2.698113
187,0.006633,0.300992,30.6646,0.859946,2.556151,26.9371,0.787771,2.675007,24.2947,0.666097,2.705027
188,0.006671,0.307961,30.6176,0.860982,2.552440,26.8983,0.790485,2.673337,24.2376,0.668597,2.701577
189,0.006669,0.302858,30.7680,0.862163,2.558243,27.0879,0.791991,2.678808,24.3991,0.672042,2.710601
190,0.006621,0.316233,30.5828,0.859085,2.556075,26.9142,0.784892,2.675957,24.2775,0.664152,2.705581
191,0.006598,0.297619,30.3795,0.854661,2.545199,26.3777,0.773414,2.663950,23.9747,0.652493,2.687352
192,0.006619,0.299430,30.5169,0.862090,2.557007,27.0254,0.793219,2.677204,24.3317,0.672972,2.710059
193,0.006634,0.308698,30.6300,0.861020,2.552468,26.7079,0.783323,2.670576,24.2098,0.665045,2.701642
194,0.006576,0.305700,30.3818,0.854487,2.551730,26.6838,0.774461,2.671110,24.0973,0.653215,2.696566
